location_id,dim_store_id,loc_stateabbrv,loc_city2,loc_city,loc_zipcode,loc_lat,loc_long,location_type
1061,2802,MO,Springfield,SPRINGFIELD,65802,37.2138712,-93.3819605,is_bluebook
1126,3084,MO,Kansas City,KANSAS CITY,64161,39.156365,-94.476425,is_bluebook
1323,4051,MO,Faucett,FAUCETT,64448,39.6003193,-94.7923775,is_bluebook
77,2132,MS,Jackson,JACKSON,39204,32.2733075,-90.1919809,is_bluebook
174,2416,MS,New Albany,NEW ALBANY,38652,34.4677831,-89.0059601,is_bluebook
261,1206,MS,Winona,WINONA,38967,33.4852989,-89.7702939,is_bluebook
388,234,MS,Meridian,MERIDIAN,39307,32.346141,-88.727746,is_bluebook
586,2203,MS,Moss Point,MOSS POINT,39563,30.4382119,-88.5289767,is_bluebook
676,1482,MS,Gulfport,GULFPORT,39503,30.4210474,-89.1381782,is_bluebook
677,2405,MS,Olive Branch,OLIVE BRANCH,38654,34.9285188,-89.7937598,is_bluebook
678,839,MS,Pearl,PEARL,39208,32.2773769,-90.1604368,is_bluebook
1203,3252,MS,Meridian,MERIDIAN,39307,32.3430612,-88.7983735,is_bluebook_one9
964,1293,MT,Hardin,HARDIN,59034,45.742419,-107.5969672,is_licensee
968,2209,MT,Belgrade,BELGRADE,59714,45.7653376,-111.186017,is_licensee
56,2386,NC,Kannapolis,KANNAPOLIS,28083,35.4984885,-80.5608582,is_bluebook
57,541,NC,Mebane,MEBANE,27302,36.0663212,-79.3090185,is_bluebook
58,977,NC,Pleasant Hill,PLEASANT HILL,27866,36.5234054,-77.5871445,is_bluebook
275,153,NC,Charlotte,CHARLOTTE,28206,35.2703819,-80.8382979,is_bluebook
393,171,NC,Waynesville,WAYNESVILLE,28786,35.5723731,-82.9558962,is_bluebook
549,1603,NC,Mount Airy,MOUNT AIRY,27030,36.487533,-80.745476,is_dealer
682,561,NC,Graham,GRAHAM,27258,36.071906,-79.354074,is_bluebook
683,1514,NC,Kenly,KENLY,27542,35.57376,-78.147115,is_bluebook
885,2147,NC,Dunn,DUNN,28334,35.2703411,-78.6153575,is_dealer
900,116,NC,Dunn,DUNN,28334,35.3185759,-78.5750899,is_dealer
1063,2765,NC,Marion,MARION,28752,35.6425406,-82.0401603,is_bluebook
6955,2864,NC,Haw River,HAW RIVER,27258,36.0702193,-79.35111,is_bluebook
6978,2891,NC,Candor,CANDOR,27229,35.2981163,-79.7262529,is_bluebook
6990,2874,NC,Kenly,KENLY,27542,35.5830516,-78.1478473,is_bluebook
6996,2893,NC,Warsaw,WARSAW,28398,34.9945427,-78.1297078,is_bluebook
7937,2897,NC,Mcleansville,MCLEANSVILLE,27301,36.0608993,-79.6621831,is_bluebook
7971,2875,NC,Conover,CONOVER,28613,35.7210856,-81.1891954,is_bluebook
7976,2883,NC,Troutman,TROUTMAN,28166,35.671304,-80.856063,is_bluebook
7983,2898,NC,Salisbury,SALISBURY,28147,35.6125359,-80.5198817,is_bluebook
7996,2856,NC,Monroe,MONROE,28110,35.0511839,-80.618859,is_dealer
489,334,ND,Grand Forks,GRAND FORKS,58201,47.8893225,-97.0918777,is_bluebook
511,2034,ND,Mandan,MANDAN,58554,46.8612425,-101.0100845,is_dealer
550,124,ND,Minot,MINOT,58701,48.22387,-101.350209,is_bluebook
