dimstate,dimcity,dimzipcode,dimcounty,dimcounty2
MA,Greenfield,1301,Franklin,Franklin County
MA,Greenfield,1302,Franklin,Franklin County
MA,Ashfield,1330,Franklin,Franklin County
MA,Athol,1331,Worcester,Worcester County
MA,Bernardston,1337,Franklin,Franklin County
MA,Buckland,1338,Franklin,Franklin County
MA,Charlemont,1339,Franklin,Franklin County
MA,Colrain,1340,Franklin,Franklin County
MA,Conway,1341,Franklin,Franklin County
MA,Deerfield,1342,Franklin,Franklin County
MA,Drury,1343,Berkshire,Berkshire County
MA,Erving,1344,Franklin,Franklin County
MA,Heath,1346,Franklin,Franklin County
MA,Lake Pleasant,1347,Franklin,Franklin County
MA,Turners Falls,1349,Franklin,Franklin County
MA,Monroe Bridge,1350,Franklin,Franklin County
MA,Montague,1351,Franklin,Franklin County
MA,Northfield,1354,Franklin,Franklin County
MA,New Salem,1355,Franklin,Franklin County
MA,Northfield,1360,Franklin,Franklin County
MA,Orange,1364,Franklin,Franklin County
MA,Petersham,1366,Worcester,Worcester County
MA,Rowe,1367,Franklin,Franklin County
MA,Royalston,1368,Worcester,Worcester County
MA,Shattuckville,1369,Franklin,Franklin County
MA,Shelburne Falls,1370,Franklin,Franklin County
MA,South Deerfield,1373,Franklin,Franklin County
MA,Sunderland,1375,Franklin,Franklin County
MA,Turners Falls,1376,Franklin,Franklin County
MA,Warwick,1378,Franklin,Franklin County
MA,Wendell,1379,Franklin,Franklin County
MA,Wendell Depot,1380,Franklin,Franklin County
MA,Fitchburg,1420,Worcester,Worcester County
MA,Ashburnham,1430,Worcester,Worcester County
MA,Ashby,1431,Middlesex,Middlesex County
MA,Ayer,1432,Middlesex,Middlesex County
MA,Devens,1434,Middlesex,Middlesex County
MA,Baldwinville,1436,Worcester,Worcester County
MA,East Templeton,1438,Worcester,Worcester County
MA,Gardner,1440,Worcester,Worcester County
MA,Westminster,1441,Worcester,Worcester County
MA,Groton,1450,Middlesex,Middlesex County
MA,Harvard,1451,Worcester,Worcester County
MA,Hubbardston,1452,Worcester,Worcester County
MA,Leominster,1453,Worcester,Worcester County
MA,Littleton,1460,Middlesex,Middlesex County
MA,Lunenburg,1462,Worcester,Worcester County
MA,Pepperell,1463,Middlesex,Middlesex County
MA,Shirley,1464,Middlesex,Middlesex County
MA,Still River,1467,Worcester,Worcester County
MA,Templeton,1468,Worcester,Worcester County
MA,Townsend,1469,Middlesex,Middlesex County
MA,Groton,1470,Middlesex,Middlesex County
MA,Groton,1471,Middlesex,Middlesex County
MA,West Groton,1472,Middlesex,Middlesex County
MA,Westminster,1473,Worcester,Worcester County
MA,West Townsend,1474,Middlesex,Middlesex County
MA,Winchendon,1475,Worcester,Worcester County
MA,Winchendon Springs,1477,Worcester,Worcester County
MA,Auburn,1501,Worcester,Worcester County
MA,Berlin,1503,Worcester,Worcester County
MA,Blackstone,1504,Worcester,Worcester County
MA,Boylston,1505,Worcester,Worcester County
MA,Brookfield,1506,Worcester,Worcester County
MA,Charlton,1507,Worcester,Worcester County
MA,Charlton City,1508,Worcester,Worcester County
MA,Charlton Depot,1509,Worcester,Worcester County
MA,Clinton,1510,Worcester,Worcester County
MA,East Brookfield,1515,Worcester,Worcester County
MA,Douglas,1516,Worcester,Worcester County
MA,East Princeton,1517,Worcester,Worcester County
MA,Fiskdale,1518,Worcester,Worcester County
MA,Grafton,1519,Worcester,Worcester County
MA,Holden,1520,Worcester,Worcester County
MA,Holland,1521,Hampden,Hampden County
MA,Jefferson,1522,Worcester,Worcester County
MA,Lancaster,1523,Worcester,Worcester County
MA,Leicester,1524,Worcester,Worcester County
MA,Linwood,1525,Worcester,Worcester County
MA,Manchaug,1526,Worcester,Worcester County
MA,Millbury,1527,Worcester,Worcester County
MA,Millville,1529,Worcester,Worcester County
MA,New Braintree,1531,Worcester,Worcester County
MA,Northborough,1532,Worcester,Worcester County
